input,time
0,82.0
1,82.0
2,82.0
3,82.0
4,82.0
5,82.0
6,82.0
7,82.0
8,82.0
9,82.0
10,82.0
11,82.0
12,82.0
13,82.0
14,82.0
15,82.0
16,82.0
17,82.0
18,82.0
19,82.0
20,82.0
21,82.0
22,82.0
23,82.0
24,82.0
25,82.0
26,82.0
27,82.0
28,82.0
29,82.0
30,82.0
31,82.0
32,82.0
33,82.0
34,82.0
35,82.0
36,82.0
37,82.0
38,82.0
39,82.0
40,82.0
41,82.0
42,82.0
43,82.0
44,82.0
45,82.0
46,83.0
47,83.0
48,83.0
49,83.0
50,83.0
51,83.0
52,83.0
53,83.0
54,83.0
55,83.0
56,83.0
57,83.0
58,83.0
59,83.0
60,83.0
61,83.0
62,86.0
63,88.0
64,88.0
65,88.0
66,88.0
67,88.0
68,88.0
69,88.0
70,88.0
71,88.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
